NAME                                                              READY   STATUS    RESTARTS      AGE   IP            NODE       NOMINATED NODE   READINESS GATES
bdrs-server-5594664765-t9m5p                                      1/1     Running   0             28m   10.244.0.14   minikube   <none>           <none>
ssi-dim-wallet-stub-7857479644-x84pz                              1/1     Running   3 (10m ago)   11m   10.244.0.25   minikube   <none>           <none>
tap74-registry-78cb5d9659-stj89                                   1/1     Running   0             22m   10.244.0.24   minikube   <none>           <none>
umbrella-dataconsumer-1-db-0                                      1/1     Running   0             28m   10.244.0.12   minikube   <none>           <none>
umbrella-dataconsumer-1-edc-controlplane-5978f74d76-vx65n         1/1     Running   0             28m   10.244.0.10   minikube   <none>           <none>
umbrella-dataconsumer-1-edc-dataplane-57856856f9-gm8hc            1/1     Running   0             28m   10.244.0.19   minikube   <none>           <none>
umbrella-dataprovider-db-0                                        1/1     Running   0             28m   10.244.0.15   minikube   <none>           <none>
umbrella-dataprovider-edc-controlplane-6b6c6687f8-krdzk           1/1     Running   3 (27m ago)   28m   10.244.0.9    minikube   <none>           <none>
umbrella-dataprovider-edc-dataplane-66899f4fd4-brtnw              1/1     Running   2 (25m ago)   28m   10.244.0.11   minikube   <none>           <none>
umbrella-edc-dataconsumer-1-vault-0                               1/1     Running   0             28m   10.244.0.18   minikube   <none>           <none>
umbrella-edc-dataconsumer-1-vault-agent-injector-7bc696c45xhpgt   1/1     Running   0             28m   10.244.0.16   minikube   <none>           <none>
umbrella-edc-dataprovider-vault-0                                 1/1     Running   0             28m   10.244.0.13   minikube   <none>           <none>
umbrella-edc-dataprovider-vault-agent-injector-7cd6ddf94b-dgbvn   1/1     Running   0             28m   10.244.0.17   minikube   <none>           <none>
wallet-postgres-0                                                 1/1     Running   0             11m   10.244.0.26   minikube   <none>           <none>
