2026-09-03T07:42:29,364 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Booting EDC runtime
2026-09-03T07:42:29,461 WARN  org.eclipse.edc.monitor.logger.Log4j2Monitor - A configuration value for 'edc.runtime.id' was found. Explicitly configuring this is not supported anymore and may get removed in the future. A random value will be assigned.
2026-09-03T07:42:31,219 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - HTTPS enforcement it not enabled, please enable it in a production environment
2026-09-03T07:42:32,061 WARN  org.eclipse.edc.monitor.logger.Log4j2Monitor - A service of the type okhttp3.OkHttpClient was already registered and has now been replaced with a OkHttpClient instance.
2026-09-03T07:42:33,023 WARN  org.eclipse.edc.monitor.logger.Log4j2Monitor - No EncryptionService registered, a no-op implementation will be used
2026-09-03T07:42:33,319 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - DIM URL configured, will use DIM STS client
2026-09-03T07:42:35,063 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Registering catena-x default scopes {DSP:2025-1=[org.eclipse.tractusx.vc.type:MembershipCredential:read, org.eclipse.tractusx.vc.type:DataExchangeGovernanceCredential:read, org.eclipse.tractusx.vc.type:BpnCredential:read], DSP:v0.8=[org.eclipse.tractusx.vc.type:MembershipCredential:read]}
2026-09-03T07:42:35,924 WARN  org.eclipse.edc.monitor.logger.Log4j2Monitor - No TokenDecorator was registered. The 'scope' field of outgoing protocol messages will be empty
2026-09-03T07:42:36,516 WARN  org.eclipse.edc.monitor.logger.Log4j2Monitor - [Delegated API Authentication] No audience configured for delegated authentication, defaulting to the participantId
2026-09-03T07:42:36,965 WARN  org.eclipse.edc.monitor.logger.Log4j2Monitor - Datasource configuration value 'edc.datasource.default.url' not found in vault, will fall back to Config. Please consider putting datasource configuration into the vault.
2026-09-03T07:42:37,015 WARN  org.eclipse.edc.monitor.logger.Log4j2Monitor - Datasource configuration value 'edc.datasource.default.user' not found in vault, will fall back to Config. Please consider putting datasource configuration into the vault.
2026-09-03T07:42:37,018 WARN  org.eclipse.edc.monitor.logger.Log4j2Monitor - Datasource configuration value 'edc.datasource.default.password' not found in vault, will fall back to Config. Please consider putting datasource configuration into the vault.
Sep 03, 2026 7:42:43 AM org.glassfish.jersey.internal.Errors logErrors
WARNING: The following warnings have been detected: WARNING: The (sub)resource method getVersion in org.eclipse.edc.connector.api.management.version.v1.VersionApiController contains empty path annotation.

2026-09-03T07:42:46,016 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Did Document Service Client not available or not enabled, skipping self-registration
2026-09-03T07:42:46,059 WARN  org.eclipse.edc.monitor.logger.Log4j2Monitor - [ExecutionManager] Execution of crawlers is globally disabled.
2026-09-03T07:42:46,122 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - 178 service extensions started
2026-09-03T07:42:46,161 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Runtime umbrella-dataprovider-edc-controlplane ready
2026-09-03T07:42:52,023 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=4, updated=0, deleted=0, retained=0, unchanged=0, invalid=0, failed=0
2026-09-03T07:43:20,723 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:43:50,721 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:44:20,726 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
